ASN,ASN_NAME,SOURCE,ASOF_DATE
62081,EPIX-WAW-GlobalMix,ASRank,2022-09-14
20495,WEDARE,ASRank,2022-09-14
2764,AAPT,ASRank,2022-09-14
8447,A1TELEKOM-AT,ASRank,2022-09-14
5400,BT,ASRank,2022-09-14
852,ASN852,ASRank,2022-09-14
34984,TELLCOM-AS,ASRank,2022-09-14
4657,STARHUB-INTERNET,ASRank,2022-09-14
30844,LIQUID-AS,ASRank,2022-09-14
1820,WNET,ASRank,2022-09-14
23947,MORATELINDONAP-AS-ID,ASRank,2022-09-14
12302,Vodafone_Ro,ASRank,2022-09-14
31027,GlobalConnect-AS31027,ASRank,2022-09-14
12912,TMPL,ASRank,2022-09-14
6774,ASN-BICS,ASRank,2022-09-14
702,UUNET,ASRank,2022-09-14
3215,AS3215,ASRank,2022-09-14
4837,CHINA169-Backbone,ASRank,2022-09-14
45820,TTSL-MEISISP,ASRank,2022-09-14
33491,COMCAST-33491,ASRank,2022-09-14
29535,MIX2_OpenPeering,ASRank,2022-09-14
196844,PIONIER-AS-ams-ix,ASRank,2022-09-14
4788,TMNET-AS-AP,ASRank,2022-09-14
1257,SWIPNET,ASRank,2022-09-14
38082,IIT-TIG-AS-AP,ASRank,2022-09-14
11404,AS-WAVE-1,ASRank,2022-09-14
9050,RTD,ASRank,2022-09-14
4651,THAI-GATEWAY,ASRank,2022-09-14
2603,NORDUNET,ASRank,2022-09-14
4761,INDOSAT-INP-AP,ASRank,2022-09-14
12874,FASTWEB,ASRank,2022-09-14
29119,SERVIHOSTING-AS,ASRank,2022-09-14
59947,LL-IX-RouteServers,ASRank,2022-09-14
9808,CHINAMOBILE-CN,ASRank,2022-09-14
60068,CDN77,ASRank,2022-09-14
199524,GCORE,ASRank,2022-09-14
58682,LEVEL3-BD,ASRank,2022-09-14
35168,TNS-Plus-Core,ASRank,2022-09-14
138840,HSP-NAP-AS-ID,ASRank,2022-09-14
21859,ZEN-ECN,ASRank,2022-09-14
29838,AMC,ASRank,2022-09-14
24785,JOINTTRANSIT-AS,ASRank,2022-09-14
15830,Equinix,ASRank,2022-09-14
4713,OCN,ASRank,2022-09-14
8641,NAUKANET-AS,ASRank,2022-09-14
13030,INIT7,ASRank,2022-09-14
17494,BTTB-AS-AP,ASRank,2022-09-14
55685,JLM-AS-ID,ASRank,2022-09-14
7552,VIETEL-AS-AP,ASRank,2022-09-14
199231,DATALAHTI-AS,ASRank,2022-09-14
11537,INTERNET2-RESEARCH-EDU,ASRank,2022-09-14
17557,PKTELECOM-AS-PK,ASRank,2022-09-14
9299,IPG-AS-AP,ASRank,2022-09-14
58552,MULTIDATA-ID-AP,ASRank,2022-09-14
8881,VERSATEL,ASRank,2022-09-14
12880,DCI-AS,ASRank,2022-09-14
25478,IHOME-AS,ASRank,2022-09-14
8455,ATOM86-AS,ASRank,2022-09-14
3209,VODANET,ASRank,2022-09-14
29226,MASTERTEL-AS,ASRank,2022-09-14
2119,TELENOR-NEXTEL,ASRank,2022-09-14
5650,FRONTIER-FRTR,ASRank,2022-09-14
7015,COMCAST-7015,ASRank,2022-09-14
18403,FPT-AS-AP,ASRank,2022-09-14
33651,CMCS,ASRank,2022-09-14
8717,A1BG,ASRank,2022-09-14
5603,SIOL-NET,ASRank,2022-09-14
3269,ASN-IBSNAZ,ASRank,2022-09-14
2856,BT-UK-AS,ASRank,2022-09-14
13649,ASN-VINS,ASRank,2022-09-14
35280,ACORUS,ASRank,2022-09-14
30781,JAGUAR-AS,ASRank,2022-09-14
12430,VODAFONE_ES,ASRank,2022-09-14
59900,Balkan-Internet-Exchange,ASRank,2022-09-14
58511,ANYCAST-GLOBAL-BACKBONE,ASRank,2022-09-14
50581,UTG,ASRank,2022-09-14
57344,TELEHOUSE-AS,ASRank,2022-09-14
55655,SIMS-AS-ID,ASRank,2022-09-14
15924,BORUSANTELEKOM-AS,ASRank,2022-09-14
50673,Serverius-as,ASRank,2022-09-14
50509,TRANSROUTE,ASRank,2022-09-14
