ASN,ORGANIZATION,SOURCE,ASOF_DATE
42831,UK Dedicated Servers,PeeringDB,2021-12-31
42831,UK Servers,PeeringDB,2021-12-31
212196,Daniel Piekacz,PeeringDB,2021-12-31
197451,Brno University of Technology,PeeringDB,2021-12-31
211227,Javier Hurtado Nuño,PeeringDB,2021-12-31
211224,JB3,PeeringDB,2021-12-31
62819,PACIFIC WAVE TELECOM,PeeringDB,2021-12-31
62819,Pacific Wave,PeeringDB,2021-12-31
211550,Steentjes Groep,PeeringDB,2021-12-31
211550,Steentjes ICT,PeeringDB,2021-12-31
211550,Steentjes Cloud,PeeringDB,2021-12-31
211553,Dakota Gartley,PeeringDB,2021-12-31
2688,AT&T LA - AS2688,PeeringDB,2021-12-31
270288,WISP SOLUCOES DE ACESSO,PeeringDB,2021-12-31
270288,WISP Internet,PeeringDB,2021-12-31
270285,LX7 TECNOLOGIA,PeeringDB,2021-12-31
2685,AT&T Canada - AS2685,PeeringDB,2021-12-31
2686,AT&T EMEA - AS2686,PeeringDB,2021-12-31
2687,AT&T AP - AS2687,PeeringDB,2021-12-31
202709,Netoip.com,PeeringDB,2021-12-31
202709,NetoIP,PeeringDB,2021-12-31
202708,Targetspot US,PeeringDB,2021-12-31
202708,Targetspot,PeeringDB,2021-12-31
265356,NET PLANETY INFOTELECOM LTDA ME,PeeringDB,2021-12-31
265356,NET PLANETY,PeeringDB,2021-12-31
42031,PLUSTELECOM Ltd.,PeeringDB,2021-12-31
269819,LE PERA SERGIO PATRICIO (NEO),PeeringDB,2021-12-31
269819,INTERNEO,PeeringDB,2021-12-31
271080,LEANDRO DINIZ DA COSTA,PeeringDB,2021-12-31
271080,SPACE NET TELECOM,PeeringDB,2021-12-31
14629,PFCS Corporation,PeeringDB,2021-12-31
202707,omnidat,PeeringDB,2021-12-31
208431,efero,PeeringDB,2021-12-31
62887,Whitesky Communications AS62887,PeeringDB,2021-12-31
62887,Whitesky Communications LLC,PeeringDB,2021-12-31
62886,OMNITEL,PeeringDB,2021-12-31
62886,OmniTel Communications Inc,PeeringDB,2021-12-31
208434,Martin Jahn,PeeringDB,2021-12-31
212106,Dimitri Broux,PeeringDB,2021-12-31
212106,DB,PeeringDB,2021-12-31
58212,Dataforest,PeeringDB,2021-12-31
58212,dataforest,PeeringDB,2021-12-31
268638,Conect Turbo Telecom Eireli-Me,PeeringDB,2021-12-31
268638,CT Telecom,PeeringDB,2021-12-31
268635,FIBER UP TELECOM EIRELI,PeeringDB,2021-12-31
268142,BYTE SHOP INTERNET,PeeringDB,2021-12-31
264196,RoraimaNET Telecomunicacoes,PeeringDB,2021-12-31
264196,RoraimaNET Telecomunicações,PeeringDB,2021-12-31
264191,Temais Telecom,PeeringDB,2021-12-31
264193,MASTER TELECOM,PeeringDB,2021-12-31
264193,Master Telecom,PeeringDB,2021-12-31
13058,serve-u AS13058,PeeringDB,2021-12-31
13058,FMT32.net (and formerly AS204786),PeeringDB,2021-12-31
13054,FreiNet GmbH,PeeringDB,2021-12-31
212109,Squirrel Internet,PeeringDB,2021-12-31
212109,Squirrel,PeeringDB,2021-12-31
33854,Nuco Technologies Ltd (Northampton),PeeringDB,2021-12-31
18705,BlackBerry,PeeringDB,2021-12-31
18705,Research In Motion,PeeringDB,2021-12-31
18705,RIM,PeeringDB,2021-12-31
50311,Gloman,PeeringDB,2021-12-31
41564,Packet Exchange AS41564,PeeringDB,2021-12-31
264996,SERVLINK TELECOM,PeeringDB,2021-12-31
264996,SERVLINK,PeeringDB,2021-12-31
264997,DIRECT TELECOM,PeeringDB,2021-12-31
264997,DIRECT TELECOM LTDA,PeeringDB,2021-12-31
398717,Durham Broadband,PeeringDB,2021-12-31
41562,Host4all Sarl,PeeringDB,2021-12-31
211869,Nicholis du Toit,PeeringDB,2021-12-31
211869,TrueWinter,PeeringDB,2021-12-31
264998,SQUID TELECOM,PeeringDB,2021-12-31
62080,KANEY,PeeringDB,2021-12-31
19306,COASTSIDE NET,PeeringDB,2021-12-31
19306,Coastside.Net,PeeringDB,2021-12-31
207787,Orbit Telekom Datacenter,PeeringDB,2021-12-31
207787,Daily Yazılım Telekomünikasyon Sanayi ve Ticaret Limited Şirketi,PeeringDB,2021-12-31
213201,Mathew Philipps,PeeringDB,2021-12-31
270932,IN9NET SERVICOS DE TECNOLOGIA,PeeringDB,2021-12-31
