CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,POLYGON_WKT
Managua,Managua,NI,"POLYGON ((-86.28625346299998 12.624234844000057, -86.07694474199997 12.527851332000068, -85.94837817899997 12.281031201000076, -86.25216008699994 11.994620284000064, -86.76986180299997 11.870692675000043, -86.42776491899997 12.61041657000004, -86.28625346299998 12.624234844000057))"
Matagalpa,Matagalpa,NI,"POLYGON ((-84.70670116699995 13.603862803000027, -84.60490559499993 13.372844678000035, -86.07694474199997 12.527851332000068, -86.28625346299998 12.624234844000057, -86.17945099799994 12.898071769000069, -84.70670116699995 13.603862803000027))"
Estelí,Estelí,NI,"POLYGON ((-86.18089416199996 13.40929817500006, -86.17945099799994 12.898071769000069, -86.28625346299998 12.624234844000057, -86.42776491899997 12.61041657000004, -86.74733598899996 12.864074845000061, -86.82598451299998 12.995846937000067, -86.80151984699995 13.092322452000076, -86.29375080499995 13.385679348000053, -86.18089416199996 13.40929817500006))"
Ocotal,Nueva Segovia,NI,"POLYGON ((-86.35885636299997 14.151924510000072, -85.54996402099994 13.962973894000072, -86.18089416199996 13.40929817500006, -86.29375080499995 13.385679348000053, -86.73409407299994 13.700206670000057, -86.35885636299997 14.151924510000072))"
Puerto Baquerizo Moreno,Galápagos,EC,"POLYGON ((-87.40223389699997 4.545582181000043, -87.40106617399994 4.544863340000063, -85.30726144999994 3.009879574000024, -85.13897380899994 1.9421947040000305, -85.16286722599995 -0.7071500709999441, -85.48470362999996 -2.841124868999941, -87.19884243599995 -6.7165801149999425, -89.06715133599994 -10.49778515099996, -90.03976957799995 -12.33046331199995, -90.29749530299995 -1.3763208849999273, -87.40223389699997 4.545582181000043))"
Quesada,Alajuela,CR,"POLYGON ((-84.30207561699996 10.916583900000035, -83.94919573999994 10.473934573000065, -84.08967170099999 10.34114608300007, -84.53549714199994 10.039687053000023, -84.78091577099997 10.307778533000032, -84.71746320099999 10.728681127000073, -84.30207561699996 10.916583900000035))"
San José,San José,CR,"POLYGON ((-83.93743060199995 10.067346066000027, -84.32273250299994 9.15453111200003, -84.50100009699997 9.053192547000037, -84.48398256399997 9.416056989000026, -84.20188840499998 9.90050440500005, -83.93743060199995 10.067346066000027))"
Heredia,Heredia,CR,"POLYGON ((-83.94919573999994 10.473934573000065, -83.73776767499999 10.378284674000042, -83.93743060199995 10.067346066000027, -84.20188840499998 9.90050440500005, -84.08967170099999 10.34114608300007, -83.94919573999994 10.473934573000065))"
San Juan de Nicaragua,Nicaragua,NI,"POLYGON ((-82.52489636299998 11.532849740000074, -82.28730735299996 11.242014049000034, -83.53966014299994 10.334909972000048, -83.73776767499999 10.378284674000042, -83.94919573999994 10.473934573000065, -84.30207561699996 10.916583900000035, -84.17452726699997 11.43359235400004, -82.52489636299998 11.532849740000074))"
Puntarenas,Puntarenas,CR,"POLYGON ((-84.78091577099997 10.307778533000032, -84.53549714199994 10.039687053000023, -84.48398256399997 9.416056989000026, -84.50100009699997 9.053192547000037, -87.78160963199997 4.818115099000067, -89.94437667199998 5.953996822000022, -85.74520108799999 9.749083425000038, -84.78091577099997 10.307778533000032))"
Alajuela,Alajuela,CR,"POLYGON ((-84.08967170099999 10.34114608300007, -84.20188840499998 9.90050440500005, -84.48398256399997 9.416056989000026, -84.53549714199994 10.039687053000023, -84.08967170099999 10.34114608300007))"
Cañas,Guanacaste,CR,"POLYGON ((-85.07140838199996 10.851280471000052, -84.71746320099999 10.728681127000073, -84.78091577099997 10.307778533000032, -85.74520108799999 9.749083425000038, -85.07140838199996 10.851280471000052))"
Boaco,Boaco,NI,"POLYGON ((-84.60490559499993 13.372844678000035, -84.47660655399994 13.186011029000042, -84.50253060099999 13.081483960000071, -85.70369490799999 12.147072623000042, -85.94336242899999 12.27667600500007, -85.94837817899997 12.281031201000076, -86.07694474199997 12.527851332000068, -84.60490559499993 13.372844678000035))"
