FROM_NODE,TO_NODE,SOURCE,ASOF_DATE
AAPT19,AAPT18,Internet Atlas,2013-08-16
AAPT19,AAPT25,Internet Atlas,2013-08-16
AAPT2,AAPT1,Internet Atlas,2013-08-16
AAPT2,AAPT3,Internet Atlas,2013-08-16
AAPT20,AAPT21,Internet Atlas,2013-08-16
AAPT22,AAPT21,Internet Atlas,2013-08-16
AAPT22,AAPT23,Internet Atlas,2013-08-16
AAPT24,AAPT23,Internet Atlas,2013-08-16
AAPT24,AAPT26,Internet Atlas,2013-08-16
AAPT25,AAPT28,Internet Atlas,2013-08-16
AAPT26,AAPT27,Internet Atlas,2013-08-16
AAPT29,AAPT28,Internet Atlas,2013-08-16
AAPT29,AAPT34,Internet Atlas,2013-08-16
AAPT30,AAPT14,Internet Atlas,2013-08-16
AAPT30,AAPT27,Internet Atlas,2013-08-16
AAPT30,AAPT32,Internet Atlas,2013-08-16
AAPT30,AAPT33,Internet Atlas,2013-08-16
AAPT30,AAPT34,Internet Atlas,2013-08-16
AAPT31,AAPT36,Internet Atlas,2013-08-16
AAPT32,AAPT31,Internet Atlas,2013-08-16
AAPT33,AAPT34,Internet Atlas,2013-08-16
AAPT34,AAPT38,Internet Atlas,2013-08-16
AAPT35,AAPT36,Internet Atlas,2013-08-16
AAPT35,AAPT37,Internet Atlas,2013-08-16
AAPT37,AAPT42,Internet Atlas,2013-08-16
AAPT38,AAPT39,Internet Atlas,2013-08-16
AAPT4,AAPT5,Internet Atlas,2013-08-16
AAPT4,AAPT7,Internet Atlas,2013-08-16
AAPT40,AAPT39,Internet Atlas,2013-08-16
AAPT41,AAPT40,Internet Atlas,2013-08-16
AAPT41,AAPT42,Internet Atlas,2013-08-16
AAPT41,AAPT43,Internet Atlas,2013-08-16
AAPT41,AAPT47,Internet Atlas,2013-08-16
AAPT41,AAPT55,Internet Atlas,2013-08-16
AAPT44,AAPT43,Internet Atlas,2013-08-16
AAPT44,AAPT45,Internet Atlas,2013-08-16
AAPT46,AAPT38,Internet Atlas,2013-08-16
AAPT46,AAPT45,Internet Atlas,2013-08-16
AAPT48,AAPT47,Internet Atlas,2013-08-16
AAPT48,AAPT49,Internet Atlas,2013-08-16
AAPT50,AAPT49,Internet Atlas,2013-08-16
AAPT50,AAPT51,Internet Atlas,2013-08-16
AAPT52,AAPT51,Internet Atlas,2013-08-16
AAPT52,AAPT53,Internet Atlas,2013-08-16
AAPT54,AAPT53,Internet Atlas,2013-08-16
AAPT6,AAPT20,Internet Atlas,2013-08-16
AAPT6,AAPT3,Internet Atlas,2013-08-16
AAPT6,AAPT5,Internet Atlas,2013-08-16
AAPT8,AAPT7,Internet Atlas,2013-08-16
AAPT8,AAPT9,Internet Atlas,2013-08-16
Aarnet0,Aarnet10,Internet Atlas,2013-08-16
Aarnet0,Aarnet3,Internet Atlas,2013-08-16
Aarnet0,Aarnet6,Internet Atlas,2013-08-16
Aarnet1,Aarnet3,Internet Atlas,2013-08-16
Aarnet1,Aarnet6,Internet Atlas,2013-08-16
Aarnet11,Aarnet12,Internet Atlas,2013-08-16
Aarnet11,Aarnet13,Internet Atlas,2013-08-16
Aarnet12,Aarnet14,Internet Atlas,2013-08-16
Aarnet13,Aarnet14,Internet Atlas,2013-08-16
Aarnet13,Aarnet15,Internet Atlas,2013-08-16
Aarnet13,Aarnet18,Internet Atlas,2013-08-16
Aarnet14,Aarnet16,Internet Atlas,2013-08-16
Aarnet14,Aarnet17,Internet Atlas,2013-08-16
Aarnet15,Aarnet16,Internet Atlas,2013-08-16
Aarnet17,Aarnet18,Internet Atlas,2013-08-16
Aarnet2,Aarnet10,Internet Atlas,2013-08-16
Aarnet2,Aarnet15,Internet Atlas,2013-08-16
Aarnet3,Aarnet16,Internet Atlas,2013-08-16
