ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
43996,52.3454,4.8324,RIPEAtlas,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2022-09-15
44788,52.2934,4.9451,RIPEAtlas,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2022-09-15
45009,52.3329,4.9195,RIPEAtlas,,52.3499686881,4.91664017601,Amsterdam,Noord-Holland,NL,False,2022-09-15
12414,52.247,6.0016,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
203993,52.247,6.0016,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
8038,52.2471,6.0015,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
1140,51.9781,5.9721,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
1140,51.9764,5.9682,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
39636,51.987,5.934,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2022-09-15
8211,51.5078,5.3978,RIPEAtlas,,51.429973164,5.50001542016,Eindhoven,Noord-Brabant,NL,False,2022-09-15
8211,51.6014,5.3122,RIPEAtlas,,51.6833371427,5.31666048481,''s-Hertogenbosch,Noord-Brabant,NL,False,2022-09-15
43350,51.9104,4.5467,RIPEAtlas,,51.919969095,4.47997432315,Rotterdam,Zuid-Holland,NL,False,2022-09-15
31019,51.95,4.225,RIPEAtlas,,52.080036844,4.26996130231,The Hague,Zuid-Holland,NL,False,2022-09-15
12414,52.5347,5.7218,RIPEAtlas,,52.5240000889,6.09699652852,Zwolle,Overijssel,NL,False,2022-09-15
12414,52.539,5.7022,RIPEAtlas,,52.5240000889,6.09699652852,Zwolle,Overijssel,NL,False,2022-09-15
