CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Panda,Inhambane,MZ,-24.0628865369,34.7302725817
Quissico,Inhambane,MZ,-24.7256884574,34.7659809964
Maxixe,Inhambane,MZ,-23.8660227402,35.3885509499
Massangena,Gaza,MZ,-21.5373042615,32.9563756904
Chiredzi,Masvingo,ZW,-21.0495820935,31.66002071
Xai-Xai,Gaza,MZ,-25.0399845186,33.6400032132
Bekiy,Toliary,MG,-24.216158835,45.3166031482
Vilanculos,Inhambane,MZ,-21.9995499483,35.3165933825
Toliara,Toliary,MG,-23.3568314425,43.6899840889
Manja,Toliary,MG,-21.4329178682,44.3332523181
Morombe,Toliary,MG,-21.739138483,43.3656776324
Tôlanaro,Toliary,MG,-25.0268070284,46.9900410551
Fianarantsoa,Fianarantsoa,MG,-21.4333312797,47.0832653389
Ihosy,Fianarantsoa,MG,-22.3996288871,46.1166576729
Farafangana,Fianarantsoa,MG,-22.8166060193,47.8332454008
Mananjary,Fianarantsoa,MG,-21.2166519991,48.3333182361
Antsirabe,Antananarivo,MG,-19.8500170707,47.0332942289
St.-Benoit,La Réunion,RE,-21.033510723,55.7128161202
Mawson Station,,AQ,-67.6145203175,62.8750007254
Antalaha,Antsiranana,MG,-14.8833434867,50.2833284086
Sambava,Antsiranana,MG,-14.2661718558,50.1665913481
Bulawayo,Bulawayo,ZW,-20.1699975395,28.5800019925
Karoi,Mashonaland West,ZW,-16.8195560518,29.6799865303
Gweru,Midlands,ZW,-19.4500414848,29.8200296618
Harare,Harare,ZW,-17.8177896944,31.0447094307
Shamva,Mashonaland Central,ZW,-17.3196288871,31.5700003649
Zvishavane,Midlands,ZW,-20.3295743624,30.0499897855
Chitungwiza,Harare,ZW,-18.0000007947,31.1000032132
Chimoio,Manica,MZ,-19.1200357881,33.4700394274
Chinhoyi,Mashonaland West,ZW,-17.3596264457,30.1800076891
Mutare,Manicaland,ZW,-18.9700191052,32.6500377998
Masvingo,Masvingo,ZW,-20.0596166801,30.8200203031
Espungabera,Manica,MZ,-20.4501354789,32.7700304756
Manica,Manica,MZ,-18.9696056937,32.8799979235
Nsanje,Nsanje,MW,-16.9166667,35.2666667
Kariba,Mashonaland West,ZW,-16.5295995902,28.8000402412
Mazowe,Mashonaland Central,ZW,-17.5196166801,30.970036986
Dedza,Dedza,MW,-14.3666667,34.3333333
Tete,Tete,MZ,-16.1700349743,33.5800068753
Kadoma,Mashonaland West,ZW,-18.3300064913,29.909946654
Chiramba,Sofala,MZ,-16.8921097627,34.6558585192
Moatize,Tete,MZ,-16.0995483207,33.9500101306
Zomba,Zomba,MW,-15.3900309053,35.3100304756
Blantyre,Blantyre,MW,-15.7900064913,34.989946654
Mwanza,Mwanza,MW,-15.6166667,34.5166667
Lilongwe,Lilongwe,MW,-13.9832950655,33.78330196
Chiradzulu,Chiradzulu,MW,-15.7,35.1833333
